Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks
166732733367182_1589110147796093,https://www.facebook.com/UFHSCL/posts/1589110147796093:0,"Please renew (or vacate) your locker by May 22nd, 2017.

Lockers not renewed or vacated by May 22nd may have the lock cut, and contents removed. Thank you!",Photo,,,4/25/2017 9:20, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1579435948763513,https://www.facebook.com/UFHSCL/posts/1579435948763513:0,Puzzle with friends at the HSC Libraries- stop by to work on a puzzle as a break from studying!,Photo,,,4/17/2017 6:37, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,,,,,,,
166732733367182_1570547409652367,https://www.facebook.com/UFHSCL/posts/1570547409652367,UF Health Science Center Libraries,Photo,,,4/9/2017 20:20, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1562722863768155,https://www.facebook.com/UFHSCL/posts/1562722863768155,FDA alerts consumers of nationwide voluntary recall of EpiPen and EpiPen Jr,Link,,,4/3/2017 12:46, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1549918321715276,https://www.facebook.com/UFHSCL/posts/1549918321715276,"The HSC Library is celebrating #352Creates with coloring, haikus, origami, and puzzles - take a break and check out some of our crafts!",Photo,,,3/24/2017 11:17, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1548708071836301,https://www.facebook.com/UFHSCL/posts/1548708071836301:0,"352 Creates at the Health Science Center Library
Friday, March 24th
  
The HSC Library is joining 352 Creates’ celebration of creativity this year with a day of arts activities.  Come to study, stay to color…

Take a break and create at the Health Science Center Library! Join us for coloring, puzzles, origami, mandala-making, and reflective writing. A craft table will be open for business all day, but additional help and instructions will be available from noon – 1 pm.",Photo,,,3/23/2017 14:15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1547150888658686,https://www.facebook.com/UFHSCL/posts/1547150888658686:0,"How can the HSC Library support student wellness in the Health Science Center?  Would you be interested in yoga, therapy dogs, art exhibits, or coloring books at the library? 

Let us know your thoughts through this survey: https://ufl.qualtrics.com/jfe/form/SV_2sryUzYQJcIoHl3.",Photo,,,3/22/2017 13:36, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1512869798753462,https://www.facebook.com/UFHSCL/posts/1512869798753462,UF Health Science Center Libraries,Photo,,,2/28/2017 13:38, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1511245105582598,https://www.facebook.com/UFHSCL/posts/1511245105582598,UF Health Science Center Libraries,Photo,,,2/27/2017 9:25, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1494381380602304,https://www.facebook.com/UFHSCL/posts/1494381380602304,"Check out this resource from the National Institute on Drug Abuse: &quot;This easy-to-read website talks about drug use, addiction, and treatment. It has pictures and videos to help readers understand the text. The website also can read each page out loud. The pages are easy to print out to share with people who do not have computers.&quot;",Link,,,2/14/2017 8:06, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1493751307331978,https://www.facebook.com/UFHSCL/posts/1493751307331978,Digital Learning Fair,Link,,,2/13/2017 18:16, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1478656468841462,https://www.facebook.com/UFHSCL/posts/1478656468841462,"This news item from the APhA talks about a study published in JAPhA: Journal of the American Pharmacist Association.  We do have access to the complete article at UF. 
The citation for the JAPhA article is: 1.Completeness, accuracy, and readability of Wikipedia as a reference for patient medication information. 
Candelario, Danielle M. et al. Journal of the American Pharmacists Association. http://dx.doi.org/10.1016/j.japh.2016.12.063",Link,,,2/1/2017 7:22, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
166732733367182_1464155303624912,https://www.facebook.com/UFHSCL/posts/1464155303624912,UF Health Science Center Libraries,Photo,,,1/21/2017 18:23, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,
