Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,,,,
166732733367182_2058543357519434,https://www.facebook.com/UFHSCL/posts/2058543357519434,No time for Leg Day during #UFFinals?  We've got you. Come check out our test desk-ercisers and let us know what you think!,Photo,,,4/30/2018 11:14, ,100,100,0,143,143,0,7,4,7,0,0,98,66,0,0,6,0,0,0,0,0,0,0,0,0,0,1,6,,1,6,,2,3,,3,4,,,,,,,
166732733367182_2052316011475502,https://www.facebook.com/UFHSCL/posts/2052316011475502,Always glad to host our beloved Beau!,Photo,,,4/25/2018 14:20, ,74,74,0,113,113,0,13,9,19,0,0,102,67,0,0,12,0,0,0,0,0,0,0,0,0,0,,3,1,,3,1,5,8,,11,8,,,,,,,
166732733367182_2050906414949795,https://www.facebook.com/UFHSCL/posts/2050906414949795,"Find your inner purr at a SPECIAL SESSION of guided meditation this Thursday, from 12-12:45pm, called &quot;The Inner Smile&quot;.  Meet on the 2nd floor, in room C2-41C, to take some time and de-stress during finals.",Photo,,,4/25/2018 10:04, ,71,71,0,93,93,0,6,3,3,0,0,80,58,0,0,3,0,0,0,0,0,0,0,0,0,0,,2,1,,2,1,2,1,,2,1,,,,,,,
166732733367182_2048576311849472,https://www.facebook.com/UFHSCL/posts/2048576311849472,"Don't miss out!  We're hosting meditation this Wednesday at 12:15pm on our third floor, room C3-72.  Come and set your intention to succeed in your studies!",Photo,,,4/24/2018 9:51, ,95,95,0,132,132,0,5,3,4,0,0,82,56,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,,2,1,,3,1,,,,,,,
166732733367182_2050596701647433,https://www.facebook.com/UFHSCL/posts/2050596701647433,UF Health Science Center Libraries,Photo,,,4/24/2018 9:19, ,104,104,0,139,139,0,13,11,20,0,0,132,98,0,0,13,0,0,0,0,0,0,0,0,0,0,,5,,,6,,9,5,,15,5,,,,,,,
166732733367182_1954641707909600,https://www.facebook.com/UFHSCL/posts/1954641707909600:0,"Just a reminder!   Beau the Therapy Dog will be here THIS AFTERNOON!  From 1-2pm, on the first floor of the HSC Library.  #KeepCalmAndPetAPup #UFFinals #Breathe",Photo,,,4/23/2018 8:44, ,117,117,0,162,162,0,11,5,6,0,0,87,63,0,0,7,0,0,0,0,0,0,0,0,0,0,1,8,,1,8,,4,2,,4,2,,,,,,,
166732733367182_2040528339320936,https://www.facebook.com/UFHSCL/posts/2040528339320936,"24-hour access to our library is available for Health Science Center students. Ask for an application at the library's first floor Information Desk (allow 1-2 business days for processing).  

Find more information here: https://library.health.ufl.edu/about-us/library-user-policies/24hr-study-space/",Photo,,,4/16/2018 15:31, ,147,147,0,218,218,0,17,10,16,0,0,153,101,0,0,10,0,0,0,0,0,0,0,0,0,0,1,7,2,1,7,5,4,4,2,4,10,2,,,,,,
166732733367182_2035615486478888,https://www.facebook.com/UFHSCL/posts/2035615486478888,"Guess who's back...back again: our favorite therapy pup Beau!  He'll be helping cure a case of the Mondays and celebrating #WellnessWednesday on April 23rd &amp; 25th, from 1-2pm on the library first floor!",Photo,,,4/12/2018 23:21, ,68,68,0,97,97,0,6,4,5,0,0,84,56,0,0,6,0,0,0,0,0,0,0,0,0,0,,4,,,4,,4,,,5,,,,,,,,
166732733367182_2024153624291741,https://www.facebook.com/UFHSCL/posts/2024153624291741,"#MeetTheLibraryMonday - Liaison Librarians

Our liaisons are librarians who specialize in a particular subject and who work with specific colleges, departments, centers or programs. Your liaison librarian is the first person you can call when you need help finding, selecting, or managing information.

Our liaisons are experts at searching databases of research data and literature, managing citations, creating data management plans, assisting with systematic reviews, and more! Your liaison can meet with you one-on-one, come guest lecture in your class, create tutorials that you can share online, or partner with your team on grants, publications, or research projects. #NationalLibraryWeek

Contact your Liaison Librarian today!
http://library.health.ufl.edu/services/library-liaisons/",Photo,,,4/9/2018 8:58, ,509,509,0,837,837,0,98,78,153,1,1,274,145,0,0,27,0,0,0,0,0,0,0,0,0,0,4,44,4,4,52,11,63,33,4,105,41,7,1,1,,,,
166732733367182_2022375574469546,https://www.facebook.com/UFHSCL/posts/2022375574469546,"Remember, our appreciation event and panel discussion about post-graduate careers in the libraries is tomorrow morning, 10:45 am!  Come enjoy some breakfast and learn about what life can look like on the other side of the degree.",Link,,,4/3/2018 7:43, ,53,53,0,69,69,0,1,0,0,0,0,49,37,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,
