Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - report_spam_clicks
166732733367182_1739393759434397,https://www.facebook.com/UFHSCL/posts/1739393759434397,"For National Eat Outside Day, take a break and get out of the library! 

There are great places to eat a snack or your lunch outdoors around the Health Science Center, including the patio on the second floor of the Communicore, the tables outside the Harrell Medical Education Building, or the picnic pavilion in the Bartram-Carr Park.    

So get outside and explore!",Photo,,,8/31/2017 8:37, ,571,181,0,1037,368,0,36,30,42,1,1,399,186,0,0,10,0,0,0,0,0,0,0,0,0,0,1,13,6,1,14,8,28,3,,,38,4,,,1,,,1,,
166732733367182_1746994198674353,https://www.facebook.com/UFHSCL/posts/1746994198674353,Health Science Center Library puzzling gets personnel!,Photo,,,8/29/2017 10:49, ,216,143,0,384,278,0,11,8,15,0,0,276,142,0,0,5,0,0,0,0,0,0,0,0,0,0,,6,2,,7,2,4,6,,,4,11,,,,,,,,
166732733367182_1745712285469211,https://www.facebook.com/UFHSCL/posts/1745712285469211,UF Health Science Center Libraries updated their address.,Link,,,8/28/2017 7:00, ,24,22,0,39,37,0,1,0,0,0,0,35,21,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,
166732733367182_1737880429585730,https://www.facebook.com/UFHSCL/posts/1737880429585730,"Come to the library to … take a nap! Conveniently located on the 2nd floor of the HSC Library, our new energy pods allow you to take a much needed break from studying, kick back, and put your feet up. The pods play soothing music and provide privacy while you snooze. But don’t worry, the automatic timer won’t let you oversleep and miss class.",Photo,,,8/25/2017 11:10, ,479,213,0,941,408,0,39,28,53,1,1,422,212,0,0,9,0,0,0,0,0,0,0,0,0,0,5,15,2,5,17,9,20,11,,,28,25,,,1,,,1,,
166732733367182_1737879599585813,https://www.facebook.com/UFHSCL/posts/1737879599585813,Loud roommate? Stay with us! Individual and group study rooms are waiting for you at the HSC Library. All you need is a Gator 1 ID. Ask us for a key at the 1st floor Information Desk.,Photo,,,8/23/2017 6:09, ,233,125,0,402,227,0,9,7,14,0,0,241,126,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,,3,4,,,3,11,,,,,,,,
166732733367182_1738215672885539,https://www.facebook.com/UFHSCL/posts/1738215672885539,"HSC librarian demonstrates how to use a pinhole camera- and it actually works... and with two piecesof card, or with leaves...",Photo,,,8/21/2017 15:29, ,239,104,0,415,154,0,23,17,34,1,1,171,108,0,0,11,0,0,0,0,0,0,0,0,0,0,1,12,,1,13,,8,13,,,10,24,,,1,,,1,,
166732733367182_1737844922922614,https://www.facebook.com/UFHSCL/posts/1737844922922614,Staggering under the weight of those brand new textbooks? Take a load off your back! Lockers are available on the second floor of the Communicore building.  Reserve your locker at the HSC Library Information Desk for either the full semester or just for the day.,Photo,,,8/21/2017 8:30, ,312,196,0,592,400,0,7,5,5,0,0,414,197,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,1,4,,,1,4,,,,,,,,
166732733367182_1731149300258843,https://www.facebook.com/UFHSCL/posts/1731149300258843,Start the school year safely by using appropriate eye protection during #Eclipse2017,Photo,,,8/16/2017 14:45, ,515,494,0,739,719,0,6,4,9,0,0,242,142,0,0,5,0,0,0,0,0,0,0,0,0,0,,2,,,2,,1,4,,,1,8,,,,,,,,
166732733367182_1731178150255958,https://www.facebook.com/UFHSCL/posts/1731178150255958,"DEADLINE EXTENDED TO 9/5: 

Become a published graphic novel artist &amp; raise awareness about HIV/AIDS information resources by entering our contest!  More information here: http://guides.uflib.ufl.edu/graphic-novel-contest",Photo,,,8/15/2017 13:02, ,475,475,0,755,755,0,1,1,2,0,0,306,160,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,,,,,
166732733367182_1721430017897438,https://www.facebook.com/UFHSCL/posts/1721430017897438,"Puzzle with friends at the Library, and study immunology at the same time!  Check out the newest puzzle...",Photo,,,8/7/2017 8:52, ,185,185,0,296,296,0,2,2,2,1,1,248,149,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,,,2,,,1,,,1,,
