Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,,,,,,
166732733367182_1845635542143551,https://www.facebook.com/UFHSCL/posts/1845635542143551,"Take some time to calm your mind!

The HSC Library will be hosting a meditation session every Wednesday from 12:15 until 12:45 in HSCL C3-72.  All are welcome to attend. Optional instruction in a simple, easy-to-learn mantra meditation technique will be offered from 12-12:15 on the 2nd and 4th Wednesday of the month.",Photo,,,12/20/2017 5:34, ,53,53,0,82,82,0,2,0,0,1,1,72,47,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,,,,,,,,1,,,1,,
166732733367182_1835261456514293,https://www.facebook.com/UFHSCL/posts/1835261456514293,"December is Safe Toys and Gifts Month!  This awareness month is sponsored by the Prevent Blindness organization. View their safe toy checklist here: https://www.preventblindness.org/safe-toy-checklist 

According to the Consumer Product Safety Commission, which collects this data annually, in 2015 there were 11 fatalities and an estimated 254,200 toy-related injuries treated in US hospitals. You can read the report here: https://www.cpsc.gov/s3fs-public/Toy_Report_2015_0.pdf 

Make sure your kids stay safe this holiday season and year round by giving gifts that are age appropriate!",Photo,,,12/18/2017 6:57, ,53,53,0,82,82,0,0,0,0,0,0,70,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1835265333180572,https://www.facebook.com/UFHSCL/posts/1835265333180572,"To sign up or find out more information about 24/7 access to the 2nd floor of the Health Science Library, click here: http://library.health.ufl.edu/about-us/library-user-policies/24hr-study-space/",Photo,,,12/14/2017 7:02, ,47,47,0,63,63,0,4,1,1,0,0,60,43,0,0,4,0,0,0,0,0,0,0,0,0,0,,3,,,3,,,,1,,,,1,,,,,,,
166732733367182_1835264359847336,https://www.facebook.com/UFHSCL/posts/1835264359847336,"Need a place free from distraction while you prepare for your exams? The Health Science Center Library has individual and group study rooms with computers and white boards for check out! They are available on a first come, first serve basis. You will need a Gator 1 card to check them out",Photo,,,12/13/2017 12:01, ,64,64,0,107,107,0,5,1,1,0,0,101,62,0,0,4,0,0,0,0,0,0,0,0,0,0,,4,,,4,,,1,,,,1,,,,,,,,
166732733367182_1845634662143639,https://www.facebook.com/UFHSCL/posts/1845634662143639,"Take some time to calm your mind!

The HSC Library will be hosting a meditation session every Wednesday from 12:15 until 12:45 in HSCL C3-72.  All are welcome to attend. Optional instruction in a simple, easy-to-learn mantra meditation technique will be offered from 12-12:15 on the 2nd and 4th Wednesday of the month.",Photo,,,12/13/2017 5:33, ,37,37,0,52,52,0,0,0,0,0,0,50,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1835263339847438,https://www.facebook.com/UFHSCL/posts/1835263339847438,"During exams, it's important to keep your brain alert and well-functioning by getting enough rest. Use HSC Library's Energy Pods to take a break from studying.",Photo,,,12/11/2017 7:00, ,98,98,0,213,213,0,13,5,5,0,0,118,63,0,0,7,0,0,0,0,0,0,0,0,0,0,1,8,,1,8,,,5,,,,5,,,,,,,,
166732733367182_1835257356514703,https://www.facebook.com/UFHSCL/posts/1835257356514703,Did you know that the Dewey Decimal System is named after Melvil Dewey? You can read a short biography of him here: http://link.galegroup.com/apps/doc/K1631001792/BIC1?u=gain40375&amp;xid=28c98ae9,Photo,,,12/10/2017 6:54, ,53,53,0,79,79,0,0,0,0,0,0,77,51,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1835247776515661,https://www.facebook.com/UFHSCL/posts/1835247776515661,Lost anything in the HSC Library lately?  Inquire at the Information Desk on the first floor - we may have found it!,Photo,,,12/8/2017 6:45, ,54,54,0,76,76,0,2,1,1,0,0,71,51,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,1,,,,1,,,,,,,,
166732733367182_1867382926635479,https://www.facebook.com/UFHSCL/posts/1867382926635479,"Holiday Hours!  In addition to the extended hours this Friday and Saturday, the HSC Library will have modified hours during Fall Intersession / Winter Break.  If you are planning to stay in Gainesville during the holidays, please review our hour changes to ensure you'll be able to take advantage of our resources and services.",Photo,,,12/7/2017 10:07, ,41,41,0,61,61,0,1,1,1,1,1,59,39,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,1,,,,1,,,,1,,,1,
166732733367182_1845633992143706,https://www.facebook.com/UFHSCL/posts/1845633992143706,"Take some time to calm your mind!

The HSC Library will be hosting a meditation session every Wednesday from 12:15 until 12:45 in HSCL C3-72.  All are welcome to attend. Optional instruction in a simple, easy-to-learn mantra meditation technique will be offered from 12-12:15 on the 2nd and 4th Wednesday of the month.",Photo,,,12/6/2017 5:33, ,40,40,0,56,56,0,0,0,0,0,0,53,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
